locationId,weekDay,startTime,duration,numVehicles,totalDrivenDistance,totalDrivenTime,weekDayNum,averageSpeed,ratioTimeNum
1,Thu,16:18,611.08,1776,712302.36,26279.8,3,97.576,174.37978660731818
1,Thu,17:21,917.56,2728,1098213.68,45206.12,3,87.457,178.38615458389643
1,Thu,18:04,1070.4,2949,1189922.5,41681.64,3,102.772,165.30269058295966
1,Thu,18:28,1096.8,2844,1144039.02,39150.6,3,105.197,155.5798687089716
1,Mon,08:55,1178.4,2850,1120346.1,80676.08,0,49.993,145.11201629327903
1,Mon,09:20,1120.56,2708,1074787.37,63332.92,0,61.094,144.99892910687515
1,Mon,09:46,1208.84,2599,1047069.6,38001.64,0,99.192,128.99970219383871
1,Mon,10:12,1250.96,2372,961476.56,32651.16,0,106.009,113.76862569546589
1,Mon,10:39,1119.4,2152,873214.28,30187.04,0,104.136,115.34750759335357
1,Mon,11:03,1202.04,2479,1004830.98,35222.04,0,102.702,123.73964260756715
1,Mon,11:28,1118.04,2254,916625.44,32265.48,0,102.272,120.96168294515402
1,Mon,12:20,777.32,1410,568180.35,19565.04,0,104.546,108.83548602891987
1,Mon,12:41,1111.48,2252,910897.14,32007.28,0,102.453,121.56763954367149
1,Mon,13:34,844.16,1773,716465.67,25375.52,0,101.644,126.01876421531463
1,Wed,11:26,1084.8,1992,805860.88,27578.92,2,105.193,110.17699115044249
1,Wed,11:09,1241.52,2543,1023137.72,37983.72,2,96.97,122.89773825633095
1,Wed,11:55,1074.72,1984,798443.56,27605.24,2,104.125,110.7637338097365
1,Wed,12:20,1156.72,2380,962627.28,33162.64,2,104.499,123.45252092122554
1,Mon,09:04,1190.4,2191,880515.67,29014.56,0,109.251,110.43346774193549
1,Mon,09:30,1174.24,2399,967435.63,31750.4,0,109.692,122.58141436162964
1,Mon,10:41,1118.6,2363,951993.93,31051.88,0,110.369,126.74772036474165
1,Mon,11:05,1069.6,2444,985247.91,32816.36,0,108.083,137.09798055347795
1,Mon,11:31,1018.28,2271,920387.8,30134.28,0,109.954,133.8138822327847
1,Mon,11:54,1175.28,2549,1028178.79,33975.04,0,108.946,130.13069226056768
1,Mon,12:23,1113.04,2449,988099.15,32529.76,0,109.351,132.01681880255876
1,Wed,08:47,1188.92,2821,1128768.61,43525.88,2,93.36,142.36449887292667
1,Wed,09:15,1014.36,2462,994011.48,34108.92,2,104.912,145.6287708505856
1,Wed,09:38,1115.12,2544,1028665.32,34698.4,2,106.725,136.88212927756655
1,Wed,10:02,1034.12,2096,846455.44,28252.04,2,107.859,121.61064479944301
1,Wed,11:38,1135.52,2234,901225.46,30140.28,2,107.644,118.04283500070451
1,Wed,12:05,1106.8,2284,922398.12,30684.56,2,108.218,123.81640766172751
1,Wed,12:30,1009.2,2121,852383.63,28410.2,2,108.01,126.09988109393579
1,Wed,13:15,1058.16,2442,991864.22,33463.56,2,106.704,138.4667725107734
1,Thu,09:16,1071.0,2343,947316.58,30885.2,3,110.42,131.26050420168067
1,Thu,09:39,1063.28,2190,886142.31,29405.96,3,108.485,123.57986607478745
1,Thu,10:04,950.16,1795,724866.15,24328.96,3,107.26,113.34933063905027
1,Thu,10:26,1063.28,1919,775480.86,25522.04,3,109.385,108.28756301256489
